latitude,longitude,brightness,scan,track,satellite,instrument,confidence,version,bright_t31,frp,daynight,type,datetime
35.0952,128.8611,305.1,1.0,1.0,Terra,MODIS,43,6.03,290.1,6.5,D,2,2020-03-05 02:17:00
36.0512,127.4905,304.0,1.0,1.0,Aqua,MODIS,58,6.03,282.9,6.8,D,0,2020-03-06 04:37:00
34.631,126.8787,302.3,1.1,1.0,Aqua,MODIS,51,6.03,286.1,5.3,D,0,2020-03-06 04:37:00
35.4595,127.7976,300.4,1.0,1.0,Aqua,MODIS,22,6.03,286.2,4.0,D,0,2020-03-06 04:37:00
35.6089,126.9051,303.8,1.1,1.0,Aqua,MODIS,32,6.03,288.9,5.6,D,0,2020-03-06 04:37:00
36.127,128.0564,307.7,1.0,1.0,Aqua,MODIS,27,6.03,294.5,5.7,D,0,2020-03-06 04:37:00
36.3128,127.7564,307.3,1.0,1.0,Aqua,MODIS,65,6.03,288.4,7.7,D,0,2020-03-06 04:37:00
36.7386,126.4996,317.6,1.1,1.0,Aqua,MODIS,78,6.03,286.2,16.9,D,0,2020-03-06 04:37:00
36.9843,126.7089,305.4,1.0,1.0,Aqua,MODIS,38,6.03,291.7,6.0,D,2,2020-03-06 04:37:00
36.9825,126.6974,313.8,1.0,1.0,Aqua,MODIS,74,6.03,291.4,12.3,D,2,2020-03-06 04:37:00
37.7761,126.4007,300.8,1.3,1.1,Terra,MODIS,36,6.03,288.9,5.9,D,0,2020-03-08 02:47:00
37.0175,127.4832,303.0,1.6,1.2,Terra,MODIS,18,6.03,290.4,6.8,D,0,2020-03-08 02:47:00
36.9807,126.7118,307.9,1.4,1.2,Terra,MODIS,66,6.03,292.1,11.9,D,2,2020-03-08 02:47:00
36.2644,126.9168,305.2,1.5,1.2,Terra,MODIS,0,6.03,291.5,9.7,D,0,2020-03-08 02:47:00
37.0284,127.4865,309.2,1.6,1.2,Terra,MODIS,65,6.03,288.7,15.6,D,0,2020-03-08 02:47:00
36.1601,128.1646,304.7,1.2,1.1,Aqua,MODIS,29,6.03,292.8,5.3,D,0,2020-03-08 04:25:00
36.5286,128.4566,307.5,1.2,1.1,Aqua,MODIS,38,6.03,295.3,8.5,D,0,2020-03-08 04:25:00
36.2492,126.8708,310.6,1.4,1.2,Aqua,MODIS,46,6.03,295.9,10.6,D,0,2020-03-08 04:25:00
36.3155,126.957,305.8,1.4,1.2,Aqua,MODIS,47,6.03,293.7,7.8,D,0,2020-03-08 04:25:00
36.7744,126.2421,303.9,1.5,1.2,Aqua,MODIS,48,6.03,292.3,8.2,D,0,2020-03-08 04:25:00
37.7542,127.9576,303.8,1.2,1.1,Aqua,MODIS,48,6.03,293.1,5.6,D,0,2020-03-08 04:25:00
37.7173,126.8057,314.3,1.3,1.1,Aqua,MODIS,75,6.03,294.1,15.2,D,0,2020-03-08 04:25:00
35.0919,128.8621,310.5,1.2,1.1,Aqua,MODIS,0,6.03,298.0,9.8,D,2,2020-03-08 04:25:00
35.1617,127.9541,303.7,1.3,1.1,Aqua,MODIS,53,6.03,290.6,8.0,D,2,2020-03-08 04:25:00
35.7931,128.4238,306.0,1.2,1.1,Aqua,MODIS,38,6.03,293.1,7.3,D,0,2020-03-08 04:25:00
36.2361,126.8584,307.8,1.4,1.2,Aqua,MODIS,45,6.03,293.4,8.1,D,0,2020-03-08 04:25:00
36.5307,128.4694,305.9,1.2,1.1,Aqua,MODIS,16,6.03,295.2,7.1,D,0,2020-03-08 04:25:00
38.1359,126.9456,316.7,1.2,1.1,Terra,MODIS,94,6.03,272.3,26.7,N,0,2020-03-08 13:51:00
38.1244,126.9331,303.1,1.2,1.1,Terra,MODIS,53,6.03,272.4,14.4,N,0,2020-03-08 13:51:00
38.1259,126.9472,306.8,1.2,1.1,Terra,MODIS,69,6.03,272.8,17.5,N,0,2020-03-08 13:51:00
36.9812,126.6922,304.7,1.2,1.1,Aqua,MODIS,28,6.03,291.0,6.8,D,2,2020-03-11 04:56:00
36.9827,126.7052,307.4,1.2,1.1,Aqua,MODIS,59,6.03,293.6,9.3,D,2,2020-03-11 04:56:00
37.5942,129.0111,300.5,1.0,1.0,Terra,MODIS,33,6.03,288.6,3.9,D,2,2020-03-12 02:22:00
35.2481,128.1474,304.0,1.0,1.0,Terra,MODIS,40,6.03,290.5,4.7,D,0,2020-03-12 02:23:00
36.6477,127.3676,300.4,1.0,1.0,Terra,MODIS,34,6.03,287.1,3.1,D,0,2020-03-12 02:23:00
36.1605,128.1664,305.5,1.0,1.0,Terra,MODIS,45,6.03,288.4,6.0,D,0,2020-03-12 02:23:00
36.2475,126.8739,309.0,1.0,1.0,Terra,MODIS,61,6.03,289.1,7.5,D,0,2020-03-12 02:23:00
36.1817,127.0136,301.8,1.0,1.0,Terra,MODIS,37,6.03,287.4,4.0,D,0,2020-03-12 02:23:00
36.1802,127.0247,304.0,1.0,1.0,Terra,MODIS,54,6.03,288.2,5.3,D,0,2020-03-12 02:23:00
35.7967,128.4292,302.6,1.0,1.0,Terra,MODIS,45,6.03,289.3,4.4,D,0,2020-03-12 02:23:00
35.5525,129.3779,311.2,1.1,1.0,Terra,MODIS,25,6.03,295.8,9.1,D,2,2020-03-12 02:23:00
35.5443,129.3818,306.3,1.1,1.0,Terra,MODIS,0,6.03,294.4,7.6,D,2,2020-03-12 02:23:00
35.165,127.9653,303.6,1.0,1.0,Terra,MODIS,37,6.03,286.6,6.0,D,0,2020-03-12 02:23:00
35.1579,127.948,311.0,1.0,1.0,Aqua,MODIS,67,6.03,292.6,9.2,D,2,2020-03-13 04:43:00
35.0899,126.8943,300.3,1.0,1.0,Aqua,MODIS,27,6.03,286.2,3.4,D,0,2020-03-13 04:43:00
36.2499,126.8783,300.8,1.0,1.0,Aqua,MODIS,37,6.03,285.4,3.7,D,0,2020-03-13 04:43:00
37.5969,129.0166,300.7,1.1,1.0,Terra,MODIS,30,6.03,287.8,4.7,D,0,2020-03-14 02:10:00
35.9778,129.3699,301.7,1.0,1.0,Terra,MODIS,19,6.03,289.1,3.7,D,2,2020-03-14 02:10:00
35.2483,128.1506,303.5,1.1,1.0,Terra,MODIS,49,6.03,288.6,6.1,D,0,2020-03-14 02:11:00
36.9822,126.7244,302.6,1.8,1.3,Terra,MODIS,40,6.03,286.8,12.0,D,2,2020-03-15 02:53:00
36.9323,126.7906,304.6,1.8,1.3,Terra,MODIS,0,6.03,284.2,14.2,D,0,2020-03-15 02:53:00
36.7298,126.4537,326.5,1.2,1.1,Aqua,MODIS,80,6.03,278.1,36.4,D,0,2020-03-15 04:31:00
37.9937,127.1601,303.2,1.1,1.0,Aqua,MODIS,31,6.03,272.4,9.1,D,0,2020-03-15 04:31:00
35.1581,127.9488,300.2,1.5,1.2,Terra,MODIS,22,6.03,288.7,6.3,D,2,2020-03-17 02:41:00
34.874,127.3225,306.7,1.7,1.3,Aqua,MODIS,64,6.03,292.1,13.4,D,2,2020-03-17 04:18:00
35.2433,128.141,303.8,1.5,1.2,Aqua,MODIS,37,6.03,291.5,7.1,D,0,2020-03-17 04:18:00
35.8428,128.3545,305.9,1.4,1.2,Aqua,MODIS,55,6.03,292.9,9.0,D,0,2020-03-17 04:19:00
35.4165,127.5369,301.4,2.8,1.6,Terra,MODIS,47,6.03,288.0,19.5,D,0,2020-03-18 01:46:00
35.0425,126.5843,310.6,1.3,1.1,Aqua,MODIS,64,6.03,297.1,8.6,D,0,2020-03-18 05:01:00
35.6391,127.4919,309.8,1.5,1.2,Aqua,MODIS,60,6.03,296.0,11.7,D,0,2020-03-18 05:01:00
35.3085,128.3025,307.7,1.1,1.0,Terra,MODIS,46,6.03,292.6,5.0,D,0,2020-03-19 02:29:00
35.9905,128.262,308.7,1.1,1.0,Terra,MODIS,37,6.03,290.9,6.7,D,0,2020-03-19 02:29:00
35.3065,128.3144,311.4,1.1,1.0,Terra,MODIS,71,6.03,292.2,8.0,D,0,2020-03-19 02:29:00
35.2609,128.2413,305.9,1.1,1.0,Terra,MODIS,55,6.03,292.0,6.0,D,0,2020-03-19 02:29:00
35.2589,128.2531,304.7,1.1,1.0,Terra,MODIS,59,6.03,291.3,5.1,D,0,2020-03-19 02:29:00
35.4783,129.2378,313.5,1.0,1.0,Terra,MODIS,32,6.03,279.2,14.6,N,0,2020-03-19 13:31:00
35.4813,129.2598,315.4,1.0,1.0,Terra,MODIS,38,6.03,279.6,16.2,N,0,2020-03-19 13:31:00
35.488,129.2625,300.3,1.7,1.3,Aqua,MODIS,25,6.03,278.1,17.5,N,0,2020-03-19 17:46:00
36.9824,126.6862,310.4,1.0,1.0,Aqua,MODIS,0,6.03,295.5,5.7,D,2,2020-03-20 04:50:00
35.8493,128.3581,308.6,1.0,1.0,Terra,MODIS,43,6.03,294.3,5.7,D,0,2020-03-21 02:17:00
35.5536,129.376,311.3,1.0,1.0,Terra,MODIS,44,6.03,298.0,6.8,D,2,2020-03-21 02:17:00
35.2296,128.2433,309.8,1.0,1.0,Terra,MODIS,66,6.03,294.6,6.6,D,0,2020-03-21 02:17:00
36.4639,128.5765,318.9,1.0,1.0,Aqua,MODIS,75,6.03,294.8,12.9,D,0,2020-03-22 04:37:00
35.1254,126.7623,316.8,1.1,1.0,Aqua,MODIS,54,6.03,305.0,8.4,D,0,2020-03-22 04:37:00
35.1868,126.8014,318.6,1.1,1.0,Aqua,MODIS,31,6.03,304.3,9.2,D,2,2020-03-22 04:37:00
35.6495,127.0245,309.5,1.1,1.0,Aqua,MODIS,59,6.03,294.8,6.9,D,0,2020-03-22 04:37:00
36.0229,126.8797,309.4,1.1,1.0,Aqua,MODIS,41,6.03,298.2,4.6,D,0,2020-03-22 04:37:00
36.4728,128.5745,321.2,1.0,1.0,Aqua,MODIS,78,6.03,294.5,15.0,D,0,2020-03-22 04:37:00
36.5039,126.5736,308.4,1.1,1.0,Aqua,MODIS,56,6.03,296.5,4.4,D,0,2020-03-22 04:37:00
37.425,129.1759,304.4,1.2,1.1,Terra,MODIS,45,6.03,291.4,6.1,D,2,2020-03-23 02:04:00
36.9828,126.7102,309.4,1.6,1.3,Terra,MODIS,58,6.03,294.9,12.8,D,2,2020-03-23 02:04:00
35.6491,126.8437,305.7,2.6,1.6,Aqua,MODIS,59,6.03,292.1,17.3,D,0,2020-03-23 05:20:00
37.9805,126.8619,316.4,1.4,1.2,Terra,MODIS,76,6.03,294.0,19.1,D,0,2020-03-24 02:47:00
36.9845,126.6949,313.1,1.4,1.2,Terra,MODIS,55,6.03,295.3,12.6,D,2,2020-03-24 02:47:00
36.9815,126.7105,311.8,1.4,1.2,Terra,MODIS,59,6.03,297.0,11.6,D,2,2020-03-24 02:47:00
35.9544,127.0133,308.5,1.6,1.2,Terra,MODIS,67,6.03,295.8,9.5,D,0,2020-03-24 02:47:00
35.1759,127.9255,305.1,1.8,1.3,Terra,MODIS,37,6.03,292.7,11.1,D,0,2020-03-24 02:47:00
35.1602,127.9416,304.5,1.8,1.3,Terra,MODIS,34,6.03,292.5,11.6,D,0,2020-03-24 02:47:00
36.1525,128.16,311.9,1.2,1.1,Aqua,MODIS,0,6.03,298.8,6.7,D,0,2020-03-24 04:25:00
35.2423,128.1494,311.5,1.3,1.1,Aqua,MODIS,67,6.03,297.8,9.5,D,0,2020-03-24 04:25:00
35.8835,127.4592,308.2,1.3,1.1,Aqua,MODIS,64,6.03,289.0,12.2,D,0,2020-03-24 04:25:00
36.2419,126.8719,312.2,1.4,1.2,Aqua,MODIS,50,6.03,297.4,10.7,D,0,2020-03-24 04:25:00
36.9786,126.7067,312.9,1.4,1.2,Aqua,MODIS,39,6.03,299.6,11.2,D,2,2020-03-24 04:25:00
38.0955,127.6315,302.0,1.2,1.1,Aqua,MODIS,37,6.03,291.3,4.7,D,0,2020-03-24 04:25:00
38.214,127.0248,335.0,1.2,1.1,Aqua,MODIS,88,6.03,294.2,41.9,D,0,2020-03-27 04:56:00
38.2224,127.0093,340.5,1.2,1.1,Aqua,MODIS,91,6.03,299.2,53.2,D,0,2020-03-27 04:56:00
38.2208,126.9954,343.3,1.2,1.1,Aqua,MODIS,93,6.03,297.8,60.0,D,0,2020-03-27 04:56:00
38.2082,126.9787,301.8,3.6,1.8,Terra,MODIS,44,6.03,272.7,62.3,N,0,2020-03-27 14:21:00
38.198,126.989,337.0,1.0,1.0,Terra,MODIS,90,6.03,282.4,39.3,D,0,2020-03-28 02:22:00
38.2055,127.0025,315.7,1.0,1.0,Terra,MODIS,62,6.03,283.6,13.4,D,0,2020-03-28 02:22:00
38.1964,127.0007,339.4,1.0,1.0,Terra,MODIS,91,6.03,281.0,43.3,D,0,2020-03-28 02:22:00
38.1889,126.9871,309.2,1.0,1.0,Terra,MODIS,35,6.03,277.8,9.1,D,0,2020-03-28 02:22:00
38.1986,126.9937,302.3,2.9,1.6,Aqua,MODIS,39,6.03,283.6,23.3,D,0,2020-03-28 04:01:00
38.1856,126.9954,300.7,2.9,1.6,Aqua,MODIS,37,6.03,280.4,20.4,D,0,2020-03-28 04:01:00
38.1994,126.9889,300.4,2.9,1.6,Aqua,MODIS,27,6.03,283.9,18.8,D,0,2020-03-28 04:01:00
36.1236,127.6738,308.1,1.0,1.0,Aqua,MODIS,62,6.03,295.4,6.0,D,0,2020-03-29 04:43:00
38.1905,126.9701,322.7,1.0,1.0,Aqua,MODIS,78,6.03,298.4,14.8,D,0,2020-03-29 04:44:00
38.1768,126.9711,310.9,3.6,1.8,Aqua,MODIS,61,6.03,296.5,36.8,D,0,2020-03-30 05:27:00
38.1708,126.9641,311.5,3.6,1.8,Aqua,MODIS,62,6.03,296.0,38.8,D,0,2020-03-30 05:27:00
38.1859,126.9659,307.7,1.7,1.3,Terra,MODIS,59,6.03,294.8,9.1,D,0,2020-03-31 02:53:00
38.1821,126.9842,312.4,1.7,1.3,Terra,MODIS,70,6.03,295.7,16.8,D,0,2020-03-31 02:53:00
